fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,24,ODISHA,2401,SAMBALPUR,1585068,254.592416229728,30,54,708.452631951,9681,0,13527,753728,112792,24238,359606,78247,91.40027,2718.787228951,24992,34267,89508,159004,120,128629,225816,23208,1918.934327,368647,69,39.21,22.46,99.54,NA
2024-2025,Sep,24,ODISHA,2403,KENDUJHAR,5626333,252.786694817082,28,241,2246.313019382,15986,0,61211,2332470,249404,47945,1112179,209328,115.02149,8257.508329982,81581,114636,249838,448882,453,314746,538482,77197,5896.1738206,1205558,86,30.31,9.79,99.76,NA
2024-2025,Sep,24,ODISHA,2406,CUTTACK,1578167,251.576756997528,26,47,1419.739828578,5124,0,17862,369309,50186,46985,22598,10636,59.66402,2408.499454078,14114,20024,121807,238921,37,202602,369356,22986,929.095605500001,170111,67,41.9,18.42,99.72,NA
2024-2025,Sep,24,ODISHA,2411,KORAPUT,5632710,266.009336821382,37,415,10752.626338585,14850,0,55301,3390625,470986,45879,1919107,189374,123.98548,19895.990895185,91563,117715,218687,337927,2371,255560,385183,70151,9019.37907659999,1569917,64,49.56,19.91,98.92,NA
2024-2025,Sep,24,ODISHA,2412,GANJAM,12949225,229.493106247512,25,165,8944.09251208399,21028,0,39164,2117819,312339,101769,115605,27720,288.79028,14093.131399884,81561,92085,403045,581081,214,434437,620722,60192,4860.2486078,1222627,47,42.85,29.94,99.04,NA
2024-2025,Sep,24,ODISHA,2416,DEOGARH,759381,270.599749273587,28,120,1288.067766851,2401,0,5046,416430,48596,13337,138951,29672,49.56603,2464.492332751,14483,21518,49199,90543,74,65013,115970,7447,1126.8585359,211931,36,54.24,18.6,99.73,NA
2024-2025,Sep,24,ODISHA,2419,JAGATSINGHAPUR,1112426,259.629454150644,19,43,1258.463055946,2627,0,10305,231181,28671,24748,624,578,64.37695,1923.053974346,11818,16994,80902,138555,6,123088,199034,12932,600.2139684,95935,52,46.4,6.19,99.59,NA
2024-2025,Sep,24,ODISHA,2431,MALKANGIRI,2082123,253.083743285661,35,239,3145.96130217,8112,0,24774,1395707,353835,38144,806950,89947,77.87046,6756.13928307,39755,52965,94400,153892,968,111583,177332,32886,3532.3075209,624697,72,55.34,12.12,99.25,NA
2024-2025,Sep,24,ODISHA,2403,KENDUJHAR,5626333,251.201077102292,28,242,2246.313019382,16419,0,60936,2361577,252472,47938,1127034,209343,115.02149,8293.641369982,82242,115612,249837,448851,472,314731,538427,77355,5932.3068606,1220530,86,30.21,10.03,99.76,NA
2024-2025,Sep,24,ODISHA,2404,MAYURBHANJ,7324550,256.361402162516,35,267,5908.364525757,42069,0,124172,5393255,501103,57628,2674144,306202,226.46613,19961.054795957,152892,197208,350935,579809,1200,430732,687752,166241,13826.2241402,2815138,86,33.4,6.38,99.62,NA
2024-2025,Sep,24,ODISHA,2407,DHENKANAL,3083247,265.315423449499,32,91,3423.495053872,7266,0,19436,1095904,184747,51382,191559,37651,96.875,6427.972392072,33646,44851,155762,271142,310,198774,339811,26702,2907.6023382,526036,60,38,21.88,99.27,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,254.820499916517,46,2938,5659.111347432,14425,0,38544,4989053,1082446,53980,2741698,135476,108.03671,18480.277853132,108051,162275,146623,244463,7437,156058,261715,52969,12713.1297957,2490996,56,32.84,46.89,99.53,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,295.277524354533,31,101,753.249700275,12646,0,20480,1015622,147523,44718,231224,59302,191.1596,3943.312798675,32108,47241,131847,253830,724,187953,339125,33126,2998.9034984,433508,73,41.7,32.28,99.82,NA
2024-2025,Sep,24,ODISHA,2415,JHARSUGUDA,876717,255.072823114419,31,21,674.788239644001,4354,0,5930,387533,86618,19462,170069,41340,61.04625,1724.325853244,12292,17006,49374,94816,130,63261,116066,10284,988.4913636,193912,64,44.71,15.64,99.68,NA
2024-2025,Sep,24,ODISHA,2419,JAGATSINGHAPUR,1112426,259.407970781093,19,43,1258.719305946,2689,0,10254,234095,28989,24740,642,575,65.06319,1931.043585146,11869,17070,80906,138464,10,123076,198906,12943,607.2610892,96995,52,46.65,6.14,99.59,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,295.177839453579,31,96,753.249700275,12281,0,20671,991763,143736,44900,225405,59656,191.1596,3871.873896175,31360,46117,131900,254878,696,187945,340256,32952,2927.4645959,423717,73,42.2,32.05,99.8,NA
2024-2025,Sep,24,ODISHA,2415,JHARSUGUDA,876717,253.765492670372,31,20,674.788239644001,4237,0,6045,376895,84065,19454,165696,41369,60.64413,1691.861823244,11976,16571,49368,94856,115,63247,116109,10282,956.4294536,188948,64,45.86,15.15,99.62,NA
2024-2025,Sep,24,ODISHA,2422,NAYAGARH,1825258,258.53487530999,30,64,2986.32871715001,7079,0,20529,814139,86756,24573,73274,15276,65.79807,5156.96003565001,27096,40870,112528,228394,91,167232,329584,27608,2104.8332485,377201,71,45.97,22.12,99.69,NA
