fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Jan,24,ODISHA,2411,KORAPUT,8557194,269.003677365777,49,541,14953.619108338,24265,0,40190,5960620,798192,46194,3412266,190535,340.92486,31328.830962138,121147,158194,221806,340484,8915,263512,393486,64455,16034.2869938,2731234,58,51.13,20.3,99.33,NA
2024-2025,Jan,24,ODISHA,2413,PURI,1714523,262.675470371999,27,78,1080.708466432,18905,0,17115,982584,165371,39401,4413,1055,177.56586,3839.281470232,35185,53902,121296,250514,206,208978,394754,36020,2581.0071438,436873,85,29.53,9.18,99.68,NA
2024-2025,Jan,24,ODISHA,2414,BARGARH,3630085,307.063872309402,41,176,1183.315019652,16904,0,15599,2268734,365385,45555,568248,59894,366.16728,8515.944772452,54069,83849,135032,257457,3489,196896,350318,32503,6966.4624728,936338,70,31.74,48.6,99.88,NA
2024-2025,Jan,24,ODISHA,2417,BHADRAK,2342793,258.17343847658,29,96,3020.883546421,22196,0,25456,1104620,156634,29808,6737,1454,218.15843,6090.877412521,36837,48808,137782,207102,95,246753,348975,47652,2851.8354361,519316,77,27.73,7.12,99.68,NA
2024-2025,Jan,24,ODISHA,2420,JAJPUR,2678492,257.693181764611,31,83,1825.69874878,11982,0,12264,1026685,192516,46754,61927,12605,158.2074,4629.60339198,32591,42933,137630,219497,206,215467,320776,24246,2645.6972432,430779,50,66.8,6.92,99.59,NA
2024-2025,Jan,24,ODISHA,2431,MALKANGIRI,3199905,253.40719688441,51,329,4821.589486005,12754,0,19340,3124930,735928,39914,1882707,93945,193.87623,12934.263233605,60870,83146,99177,160855,5783,118385,186554,32094,7918.7975176,1359768,65,39.27,34.89,99.66,NA
2024-2025,Jan,24,ODISHA,2406,CUTTACK,2107572,250.342801768392,28,55,1602.624056793,8692,0,12843,582450,76480,46857,32902,10686,141.53535,3202.281055693,20292,29258,122490,240155,88,209411,379082,21535,1458.1216489,270532,63,34.99,14.73,99.8,NA
2024-2025,Jan,24,ODISHA,2408,KANDHAMAL,7810643,265.453587642708,65,3376,8683.930659789,22138,0,31603,8099898,1740529,55546,4466145,139059,330.71173,30516.112226189,123447,189015,150018,251176,23442,162424,272788,53741,21501.4698364,4034348,53,30.04,49.89,99.75,NA
2024-2025,Jan,24,ODISHA,2409,BOLANGIR,8265704,304.755201357558,51,481,8650.31714043098,31483,0,38890,6519944,907487,68412,1429096,101149,416.43673,28936.622336031,127733,210505,234470,441477,14096,292978,533167,70373,19869.8684656,2845197,72,34.93,50.69,99.75,NA
2024-2025,Jan,24,ODISHA,2411,KORAPUT,8557194,268.656556153426,49,538,14952.761038338,24136,0,40166,5927706,794983,46169,3391964,190401,340.92486,31218.856696838,120799,157705,221655,340238,8824,262840,392551,64302,15925.1707985,2716466,58,51.22,20.24,99.33,NA
2024-2025,Jan,24,ODISHA,2414,BARGARH,3630085,306.906009166753,41,175,1181.817619652,16876,0,15563,2251397,362875,45541,563395,59872,366.16728,8457.657582852,53923,83555,135002,257357,3436,193984,345937,32439,6909.6726832,929211,70,31.71,48.58,99.88,NA
2024-2025,Jan,24,ODISHA,2416,DEOGARH,1188414,259.106695190902,41,165,1957.269772981,3922,0,4765,1073590,127661,13578,361965,30360,104.79023,4843.803571881,25623,39153,50357,92365,819,66781,118545,8687,2781.7435689,545443,37,51.2,20.92,99.85,NA
2024-2025,Jan,24,ODISHA,2417,BHADRAK,2342793,257.501075796757,29,96,3020.218096421,22110,0,25371,1087408,154740,29792,6670,1452,218.15843,6038.463824721,36358,48131,137640,206825,87,243838,345199,47481,2800.0872983,511174,77,27.62,7.14,99.68,NA
2024-2025,Jan,24,ODISHA,2420,JAJPUR,2678492,257.930405444004,31,83,1824.05610878,11945,0,12264,1018809,191184,46717,61565,12610,158.2074,4610.08169318,32402,42659,137544,219319,205,213164,318006,24209,2627.8181844,427101,50,66.87,7.07,99.59,NA
2024-2025,Jan,24,ODISHA,2423,KHORDHA,1351307,253.84454481203,31,70,1427.635974634,5255,0,8209,568787,58123,16443,41649,8816,91.44493,2962.915675734,17990,25014,68031,125367,296,110445,191685,13464,1443.8347711,261949,54,47.03,15.07,99.91,NA
2024-2025,Jan,24,ODISHA,2424,GAJAPATI,2905912,282.605987643904,45,146,3438.016536687,10141,0,19348,2459029,135264,11228,1708319,113215,223.72165,10611.101378587,53906,80143,92421,172258,3714,113425,202919,29489,6949.36319190001,1241113,61,45.64,25.59,99.54,NA
2024-2025,Jan,24,ODISHA,2426,BOUDH,1718168,255.220296863361,38,36,2129.8115545271,10185,0,11408,1324953,237092,27325,138522,14049,121.63602,5632.99655442711,34040,52589,73044,132935,459,95083,166590,21593,3381.54897990001,609661,79,37.58,18.92,99.53,NA
2024-2025,Jan,24,ODISHA,2431,MALKANGIRI,3199905,253.74302931961,51,326,4819.809486005,12584,0,19387,3097415,729291,39886,1866825,93850,193.87623,12873.160367605,60539,82648,99062,160698,5676,118208,186298,31971,7859.4746516,1347953,65,39.4,34.87,99.66,NA
2024-2025,Jan,24,ODISHA,2406,CUTTACK,2107572,251.52484129338,28,55,1602.624056793,8705,0,12849,586680,77514,46880,33055,10687,141.53535,3219.805345693,20394,29439,122508,240248,88,210150,380262,21554,1475.6459389,272541,63,34.75,14.85,99.8,NA
2024-2025,Jan,24,ODISHA,2415,JHARSUGUDA,1400497,252.933105534477,41,41,866.077802182001,5899,0,4239,862647,185207,19685,391232,41758,122.91276,3170.910409082,20562,29944,50170,95892,944,64220,117088,10138,2181.9198469,408107,60,41.26,24.27,99.8,NA
2024-2025,Jan,24,ODISHA,2417,BHADRAK,2342793,257.413995220925,29,96,3020.245046421,22183,0,25388,1099376,156056,29804,6737,1454,218.15843,6068.351160521,36672,48549,137710,206949,91,245312,347111,47571,2829.9476841,516948,77,27.69,7.14,99.68,NA
2024-2025,Jan,24,ODISHA,2424,GAJAPATI,2905912,283.083179255546,45,146,3443.716762587,10150,0,19421,2475611,136542,11234,1719346,113295,223.72165,10675.476737387,54138,80558,92481,172362,3759,113499,203047,29571,7008.03832480001,1249369,61,45.49,25.79,99.67,NA
2024-2025,Jan,24,ODISHA,2427,SONEPUR,1684960,257.426194382777,40,47,2437.937402229,9417,0,10804,1376552,232906,27623,103962,10538,178.24908,6159.791909529,34209,47347,80645,138585,586,119232,199242,20221,3543.6054273,598099,78,33.41,13.9,99.55,NA
2024-2025,Jan,24,ODISHA,2410,KALAHANDI,7196074,313.17106211811,52,349,11172.462482678,27171,0,31211,6232659,1192384,68081,2164129,125893,248.37885,30939.725721178,117974,188511,217352,394533,14427,277275,482058,58382,19518.8843885,2989578,49,26.54,49.5,99.71,NA
2024-2025,Jan,24,ODISHA,2414,BARGARH,3630085,306.403739135043,39,163,1041.870798182,16686,0,15212,2037974,326194,45267,503646,59592,315.74961,7602.048946782,51216,78785,134373,256165,2812,190616,340791,31898,6244.4285386,839560,70,31.93,47.63,99.87,NA
2024-2025,Jan,24,ODISHA,2416,DEOGARH,1188414,258.91509981305,39,149,1825.471411336,3806,0,4626,953733,112615,13485,323398,30141,87.81776,4382.647920236,24122,36741,50093,91761,619,66193,117465,8432,2469.3587489,484131,36,52.19,20.8,99.82,NA
2024-2025,Jan,24,ODISHA,2419,JAGATSINGHAPUR,1352664,258.143596466579,25,76,1446.567539188,4603,0,9170,498214,60383,24700,1677,575,100.77315,2833.448226888,19304,28017,81973,140067,131,126754,204143,13773,1286.1075377,211363,53,54.8,4.45,99.72,NA
2024-2025,Jan,24,ODISHA,2423,KHORDHA,1351307,254.690094011978,30,64,1398.395187564,5105,0,8262,507914,47439,16367,36612,8745,83.93141,2775.933241664,16704,23174,67762,124865,263,109885,190918,13367,1293.6066441,231445,54,47.92,15.25,99.87,NA
2024-2025,Feb,24,ODISHA,2410,KALAHANDI,7545147,313.144850225644,57,366,12505.988639319,27934,0,32622,7390217,1396365,68991,2552306,127411,296.0115,35944.0840953191,128496,206934,219857,399890,18211,291081,505398,60556,23142.0839560001,3550750,49,25.49,49.06,99.76,NA
2024-2025,Feb,24,ODISHA,2417,BHADRAK,2453887,257.571876058052,30,101,3021.370666421,23726,0,25517,1186733,165889,29977,7058,1457,230.37642,6308.437538321,38742,51378,138344,208266,122,270994,378960,49243,3056.6904519,559787,78,27.26,7.07,100.06,NA
2024-2025,Feb,24,ODISHA,2422,NAYAGARH,2546063,255.794818030398,36,87,3827.45092298701,11596,0,15921,1449308,136842,24738,140936,15398,248.83374,7783.539424287,39378,60062,114065,230819,316,169179,332356,27517,3707.2547613,667733,70,42.59,16.98,99.75,NA
2024-2025,Feb,24,ODISHA,2426,BOUDH,1791595,254.998372244994,40,37,2219.9215086271,10398,0,11715,1466013,258669,27524,148080,14104,125.48921,6083.72000552711,36381,56613,73517,133886,594,96763,169658,22113,3738.30928690001,673831,80,38.06,17.88,99.57,NA
2024-2025,Feb,24,ODISHA,2407,DHENKANAL,4622474,258.993878731229,41,123,4150.182224818,11645,0,15232,2135389,344422,51866,333274,38018,249.97294,9930.681961918,51750,70604,157695,274622,1065,208504,354256,26877,5530.5267971,1026320,58,44.77,19.51,99.43,NA
2024-2025,Feb,24,ODISHA,2410,KALAHANDI,7545147,313.775079138549,57,366,12498.343339319,27921,0,32593,7342629,1386072,68944,2534525,127373,296.0115,35833.6947949191,128160,206304,219770,399732,18019,290649,504730,60514,23039.3399556001,3526796,49,25.53,49,99.76,NA
2024-2025,Feb,24,ODISHA,2411,KORAPUT,8964699,268.807378629072,49,551,14973.178872338,25825,0,40011,6154707,822436,46398,3523316,191144,367.27442,31884.759841338,123856,161965,222446,341589,9424,266431,397698,65836,16544.306549,2821219,58,51.06,20.21,99.36,NA
2024-2025,Feb,24,ODISHA,2413,PURI,1772439,261.007382595394,28,83,1086.439126432,19221,0,17196,1096273,179972,39798,5076,1067,209.65645,4157.449039832,38047,58679,122041,252744,258,217583,410115,36417,2861.3534634,485554,85,30.17,9.15,99.71,NA
2024-2025,Feb,24,ODISHA,2420,JAJPUR,2768024,257.983746619552,32,88,1918.97730468,12070,0,12238,1075671,200781,46849,65510,12627,183.56258,4877.59623178,33404,44067,137847,220064,235,223765,331465,24308,2775.0563471,452942,51,66.56,6.82,99.61,NA
2024-2025,Feb,24,ODISHA,2424,GAJAPATI,3036893,283.337762579995,47,153,3485.877335221,10409,0,19737,2663912,144258,11287,1854911,114056,228.66188,11262.407873121,56314,84347,92928,173480,4344,115452,206746,30146,7547.8686579,1347777,61,44.45,26.37,99.7,NA
2024-2025,Feb,24,ODISHA,2404,MAYURBHANJ,11679856,256.637534858448,45,365,8741.862777533,109732,0,69651,8903724,812119,58462,4506945,311983,647.86584,32240.026401733,196251,258715,358203,591788,5633,453483,722359,179383,22850.2977842,4624254,86,38.13,9.41,100.23,NA
2024-2025,Feb,24,ODISHA,2416,DEOGARH,1276381,258.463689195893,44,170,1972.984058481,4014,0,4909,1257892,153372,13749,416190,30778,105.97682,5330.154947781,28045,43035,50895,93539,1125,68997,122694,8923,3251.1940693,641208,37,50.62,20.67,99.87,NA
2024-2025,Feb,24,ODISHA,2421,ANGUL,3854357,253.933244929411,41,143,4100.613191803,12850,2,18049,1977778,221938,32596,272144,32914,173.06297,9295.912014703,48133,66292,139856,244195,1323,187995,313879,30899,5022.2358529,1016261,58,52.08,7.68,99.81,NA
2024-2025,Feb,24,ODISHA,2431,MALKANGIRI,3373200,254.069660636995,52,351,4827.900416005,13169,0,19132,3318865,785255,40299,1996441,94452,219.18843,13479.317888505,62964,86239,99902,161914,6573,119736,188374,32301,8432.2290425,1445176,65,38.4,34.98,99.66,NA
2024-2025,Oct,24,ODISHA,2401,SAMBALPUR,1833365,254.361250083516,33,64,799.277170257,10849,0,12864,1047706,152378,24284,519710,78566,160.04359,3624.278839057,31439,44055,90052,159548,333,128807,225670,23713,2664.9580788,497973,69,34.72,31.04,99.55,NA
2024-2025,Oct,24,ODISHA,2404,MAYURBHANJ,8254638,256.727868827445,38,299,7105.652077344,52221,0,116007,6304764,586727,57787,3132402,307321,340.86219,23632.600519144,164504,213335,352369,582099,2177,432450,690342,168228,16186.0862518,3290914,86,33.27,6.94,99.61,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,269.520374158538,41,158,6482.510528741,11248,0,38993,2896152,439375,41133,1418292,145844,132.72669,14420.956925341,69563,94221,164239,267599,2338,210218,331001,50241,7805.7197066,1326889,73,32.07,29.11,99.32,NA
2024-2025,Oct,24,ODISHA,2404,MAYURBHANJ,8254638,256.442892892384,38,295,7102.826647344,51834,0,116315,6272131,584269,57777,3115839,307277,340.86219,23528.123019744,164058,212731,352332,582026,2148,432381,690228,168149,16084.4341824,3274121,86,33.25,6.92,99.62,NA
2024-2025,Oct,24,ODISHA,2408,KANDHAMAL,6201239,257.794521782109,52,3127,7138.483587231,15496,0,38885,5976648,1301791,54340,3274752,135960,207.01047,22752.965187431,114441,173351,147312,245570,11789,157629,264058,54381,15407.4711302,2985530,55,31.22,47.49,99.66,NA
2024-2025,Oct,24,ODISHA,2409,BOLANGIR,6037210,304.212487082117,42,413,7306.42716618999,21448,0,52317,4481191,617450,67573,952440,99965,336.71246,21275.48221819,105879,171982,231377,435565,7540,286459,521615,73765,13632.342592,1958367,75,35.22,49.87,99.67,NA
2024-2025,Oct,24,ODISHA,2415,JHARSUGUDA,1014845,254.088774068686,33,26,747.216631539001,4636,0,5750,476397,105309,19437,210969,41335,79.17516,2036.863088539,14425,20185,49456,94813,229,63316,115979,10386,1210.471297,232654,64,43.06,18.77,99.76,NA
2024-2025,Oct,24,ODISHA,2416,DEOGARH,850092,265.964047117682,31,127,1487.814654559,2839,0,4944,543278,63194,13272,184983,29642,71.96302,3004.701830459,17446,26013,49330,90359,139,65007,115523,7783,1444.9241559,275919,36,54.38,18.7,99.77,NA
2024-2025,Oct,24,ODISHA,2418,KENDRAPARA,1553376,256.756596223182,26,63,414.396272942,6388,0,24159,420195,71584,43067,1220,1295,111.23074,1604.505392442,16082,21829,127898,223653,26,195664,322225,30547,1078.8783795,185420,53,42.49,3.37,99.61,NA
2024-2025,Oct,24,ODISHA,2419,JAGATSINGHAPUR,1186741,258.431265251391,22,61,1366.739248789,3241,0,10366,323659,38932,24639,828,571,84.03583,2287.211127589,14482,20859,81219,138634,52,123232,198665,13607,836.4360488,135382,53,49.85,5.49,99.55,NA
2024-2025,Oct,24,ODISHA,2402,SUNDARGARH,6992518,252.938914686965,37,338,4031.718491082,19709,0,38777,3931990,326716,30498,2692240,239380,272.66969,14249.921012682,105229,133927,216204,346087,2116,238909,380825,58486,9945.5328316,1932198,75,36.37,33.66,99.69,NA
2024-2025,Oct,24,ODISHA,2403,KENDUJHAR,6249090,251.973793994288,33,288,2567.965034407,21408,0,58233,3333160,345890,48134,1667339,209921,215.78974,11182.444486307,100315,142746,250698,450132,1256,315011,538701,79641,8398.6897119,1729544,86,30.25,14.45,99.72,NA
2024-2025,Oct,24,ODISHA,2419,JAGATSINGHAPUR,1186741,258.577071577035,22,61,1366.789628789,3254,0,10376,328122,39426,24646,852,571,84.03583,2299.273717589,14649,21112,81258,138698,54,123279,198732,13630,848.4482588,137418,53,50.06,5.48,99.57,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,253.778240486267,33,104,3829.139307511,9543,2,23088,1098491,134320,33057,180819,34402,127.36462,6744.235059211,32880,44302,137539,244437,293,170867,293312,32631,2787.7311317,571963,63,57.41,8.53,99.79,NA
2024-2025,Oct,24,ODISHA,2422,NAYAGARH,1967745,258.077466196238,31,70,3399.64929615801,8088,0,19767,901305,95858,24520,89019,15233,145.62444,5871.33884285801,28977,43693,112483,227509,115,167254,328816,27855,2326.0651067,417964,71,44.41,20.78,99.67,NA
2024-2025,Oct,24,ODISHA,2408,KANDHAMAL,6201239,258.086978240059,51,3116,7137.474087231,15496,0,38865,5916744,1287101,54308,3242514,135903,207.01047,22614.830357031,114038,172611,147224,245452,11534,157608,264028,54361,15270.3457998,2955963,55,31.36,47.27,99.66,NA
2024-2025,Oct,24,ODISHA,2410,KALAHANDI,5034732,309.706528387664,42,298,9926.73280041101,21303,0,36969,4148087,790964,67124,1409217,123925,190.52928,22964.158322611,98004,154314,214413,388538,7734,271496,471790,58272,12846.8962422,1986543,53,27.65,47.52,99.63,NA
2024-2025,Oct,24,ODISHA,2414,BARGARH,2573983,298.252518454794,32,121,864.505956649,14156,0,19644,1272840,190767,44645,299127,58997,241.8194,4902.602712549,39695,59373,132328,253069,1029,188102,337502,33800,3796.2773559,534505,73,37,37.66,99.82,NA
2024-2025,Oct,24,ODISHA,2416,DEOGARH,850092,266.587292419785,31,123,1487.814654559,2839,0,4932,534721,62318,13280,180894,29633,71.96302,2985.275910459,17237,25714,49317,90349,133,65004,115536,7771,1425.4982359,271671,36,54.54,18.54,99.77,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,254.763073952509,33,98,3829.139307511,9518,2,23058,1068172,131037,33049,177563,34398,127.36462,6677.811749811,32065,43129,137506,244380,283,170801,293231,32576,2721.3078223,557216,63,57.39,8.73,99.79,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,276.455823976472,34,108,2890.142877694,7525,0,21919,1364863,82846,11104,921112,110391,154.85379,6818.239920494,39570,56733,90329,168067,1007,109783,196098,29444,3773.2432528,683226,65,51.35,20.16,99.29,NA
2024-2025,Oct,24,ODISHA,2427,SONEPUR,1239847,259.504588553698,35,30,2063.443708094,7124,0,13315,968802,168839,27174,70811,10273,112.82646,4690.355812094,27603,37621,78903,135479,302,116540,194637,20439,2514.085644,426535,80,35.04,15.82,99.45,NA
2024-2025,Oct,24,ODISHA,2428,NUAPADA,2486358,332.928445957425,47,466,2530.675403985,20746,0,32926,2230917,293305,27022,845036,76141,79.88688,10037.919582685,47152,86622,86819,194676,5091,99157,215095,53672,7427.3572987,1031486,78,42.85,19.8,99.6,NA
2024-2025,Sep,24,ODISHA,2402,SUNDARGARH,6258761,253.303516228392,35,305,3813.925806492,18128,0,39794,3471262,286350,30446,2379859,238842,237.85357,12844.608079992,98876,125253,215677,345371,1570,238307,380003,57922,8792.8287035,1714218,75,36.48,32.94,99.66,NA
2024-2025,Sep,24,ODISHA,2405,BALESHWAR,1625665,258.500537444723,30,131,2121.851376262,16217,0,52606,1212534,187653,43989,78990,18553,132.6805,5388.938782962,40086,53950,160155,268557,69,252964,405005,68823,3134.4069067,601737,79,30.83,4.63,99.67,NA
2024-2025,Sep,24,ODISHA,2413,PURI,1252213,268.32643904517,25,40,912.00887201,12017,0,20855,572793,109021,38668,2900,1020,141.55885,2590.52278201,22859,34665,118915,244349,95,194849,369533,32872,1536.95506,259110,85,31.25,10.99,99.56,NA
2024-2025,Sep,24,ODISHA,2427,SONEPUR,1110481,259.416985750672,34,29,2053.911500639,6896,0,13499,927342,160718,27163,67556,10273,92.99387,4552.588034639,26875,36621,78854,135443,282,116398,194462,20395,2405.682664,407896,80,35.83,16.22,99.45,NA
2024-2025,Sep,24,ODISHA,2428,NUAPADA,2095140,332.786799535048,46,417,2349.296529435,19711,0,33451,2046662,269859,27043,768676,76301,73.87273,9234.190226535,44022,80138,86748,195129,4432,98980,215345,53162,6811.0209671,947106,78,42.72,18.75,99.58,NA
2024-2025,Sep,24,ODISHA,2430,NABARANGAPUR,4219399,268.140641225459,40,155,6070.237737832,10792,0,39146,2698614,408524,40992,1321338,145553,113.60006,13419.918681632,67296,90994,163747,266949,1909,209587,330240,49938,7236.0808838,1238811,73,32.22,29.53,99.28,NA
2024-2025,Oct,24,ODISHA,2415,JHARSUGUDA,1014845,253.484649673058,32,23,737.679466564001,4585,0,5772,451150,100119,19427,198725,41305,66.68413,1947.959593564,13740,19181,49405,94736,206,63280,115929,10357,1143.595997,221719,64,43.34,17.73,99.74,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,259.247291169654,27,81,2408.289666987,8223,0,38192,823252,118643,29194,5453,1438,113.92798,4656.476156487,30303,39741,136003,203401,41,200498,289417,46415,2134.2585095,383996,77,27.68,6.36,99.54,NA
2024-2025,Oct,24,ODISHA,2419,JAGATSINGHAPUR,1186741,257.952114697226,21,60,1359.325967389,3179,0,10315,304105,37044,24628,816,571,79.75162,2223.522865789,14001,20155,81124,138477,49,123109,198469,13494,784.4452784,126888,53,49.53,5.48,99.54,NA
2024-2025,Oct,24,ODISHA,2422,NAYAGARH,1967745,258.18425398467,30,67,3212.70540092901,7793,0,19997,883762,94064,24538,85903,15231,131.41594,5625.85566762901,28559,43095,112511,227583,109,167299,328907,27790,2281.7343267,409748,71,45.32,21.14,99.68,NA
2024-2025,Oct,24,ODISHA,2427,SONEPUR,1239847,259.40126606264,34,30,2054.920620639,7045,0,13370,944661,164235,27184,69110,10274,92.99387,4598.377084639,27238,37123,78887,135492,288,116456,194560,20415,2450.462594,415682,80,35.58,16.1,99.45,NA
2024-2025,Oct,24,ODISHA,2429,RAYAGADA,3706833,263.343395959968,37,309,4493.768434586,10560,0,37210,2198745,392662,34309,1375076,123596,118.64724,10402.665426086,59169,80780,124081,201180,1581,153561,240935,47770,5790.2497515,1070449,59,52.98,12.2,99.25,NA
2024-2025,Oct,24,ODISHA,2431,MALKANGIRI,2408604,254.778724097109,39,258,3544.65715787,9797,0,23221,1789086,433196,38301,1063705,90395,87.17104,8190.03868167,45288,60662,94917,154647,1479,112442,178407,33018,4558.2104838,793069,72,49.57,20.32,99.48,NA
2024-2025,Sep,24,ODISHA,2401,SAMBALPUR,1585068,254.073012931641,31,58,791.566407057,10513,0,12962,916589,134832,24219,445597,78301,94.99544,3215.367135557,28790,39935,89776,159064,222,128666,225414,23475,2328.8052885,441178,69,35.91,27.65,99.55,NA
2024-2025,Sep,24,ODISHA,2403,KENDUJHAR,5626333,253.269982218086,31,279,2507.986879307,19525,0,59410,2918696,305437,48001,1435928,209514,156.13236,10056.300079507,93196,131925,250217,449220,894,314789,538226,78935,7392.1808402,1513805,86,30.01,12.5,99.71,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,255.682924059367,49,3053,6211.587387325,15378,0,38317,5575263,1209886,54171,3058779,135659,142.42501,20609.007859725,111854,168754,146912,244895,9951,157125,263199,53695,14254.9954624,2784474,56,32.04,46.74,99.58,NA
